infinitiv	tip	sigurnost	predlozeni_oblik
vristati	-ati	visoka	vristala
vristati	-ati	visoka	vristalo
vristati	-ati	visoka	vristali
vristati	-ati	visoka	vristale
vrištati	-ati	visoka	vrištam
vrištati	-ati	visoka	vrištaš
vrištati	-ati	visoka	vrišta
vrištati	-ati	visoka	vrištamo
vrištati	-ati	visoka	vrištate
vrištati	-ati	visoka	vrištaju
vrištati	-ati	visoka	vrištaj
vrištati	-ati	visoka	vrištajte
vrleti	-eti	proveri	vrliš
vrleti	-eti	proveri	vrlimo
vrleti	-eti	proveri	vrlite
vrleti	-eti	proveri	vrleo
vrleti	-eti	proveri	vrlela
vrleti	-eti	proveri	vrlelo
vrleti	-eti	proveri	vrleli
vrleti	-eti	proveri	vrlele
vrljati	-ati	visoka	vrljam
vrljati	-ati	visoka	vrljaš
vrljati	-ati	visoka	vrlja
vrljati	-ati	visoka	vrljamo
vrljati	-ati	visoka	vrljate
vrljati	-ati	visoka	vrljaju
vrljati	-ati	visoka	vrljajte
vrljati	-ati	visoka	vrljala
vrljati	-ati	visoka	vrljalo
vrljati	-ati	visoka	vrljali
vrljati	-ati	visoka	vrljale
vrludati	-ati	visoka	vrludam
vrludati	-ati	visoka	vrludaš
vrludati	-ati	visoka	vrludamo
vrludati	-ati	visoka	vrludate
vrludati	-ati	visoka	vrludaju
vrludati	-ati	visoka	vrludaj
vrludati	-ati	visoka	vrludajte
vrludati	-ati	visoka	vrludao
vrludati	-ati	visoka	vrludala
vrludati	-ati	visoka	vrludalo
vrludati	-ati	visoka	vrludali
vrludati	-ati	visoka	vrludale
vrnuti	-nuti	visoka	vrnemo
vrnuti	-nuti	visoka	vrnete
vrnuti	-nuti	visoka	vrnula
vrnuti	-nuti	visoka	vrnulo
vrnuti	-nuti	visoka	vrnuli
vrnuti	-nuti	visoka	vrnule
vrnuti	-nuti	visoka	vrni
vrnuti	-nuti	visoka	vrnite
vrskati	-ati (palatalizacija?)	proveri	vrskam
vrskati	-ati (palatalizacija?)	proveri	vrskaš
vrskati	-ati (palatalizacija?)	proveri	vrska
vrskati	-ati (palatalizacija?)	proveri	vrskamo
vrskati	-ati (palatalizacija?)	proveri	vrskate
vrskati	-ati (palatalizacija?)	proveri	vrskaju
vrskati	-ati (palatalizacija?)	proveri	vrskaj
vrskati	-ati (palatalizacija?)	proveri	vrskajte
vrskati	-ati (palatalizacija?)	proveri	vrsčem
vrskati	-ati (palatalizacija?)	proveri	vrsčeš
